,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
68,NGC4085,0.43203153617233386,0.35647089118329206,0.5431424943062833,0.6838038065210167,0.5532780328162145,0.864792483430076,577248.6504482433,69044.27485103704,3795488.4992999015,225.95484022615713,27.334057198932502,1379.2657841959463,9.28545195301127,7,0.481328125
69,NGC4088,0.38042099905414833,0.35359102885010113,0.4072667488738255,0.7008234895534078,0.5521285283635097,0.8920612485018227,645465.150626588,171314.32312248513,2572664.8007860864,385.4920791282328,81.16120988805628,1618.6084198811188,0.5392178841473158,12,0.517078125
70,NGC4100,0.4952196319597145,0.4301503298074847,0.5669464363947084,0.6946317859493428,0.5490013264018881,0.8767835295953572,96769.28633541694,89364.97905909906,104046.51711929771,7.052651258962889,5.804373844158787,8.82885566364505,0.9494938913142841,24,0.58959375
71,NGC4138,0.5370664987775411,0.42191770490733616,0.6851641434061903,0.6861072140321612,0.5415576575665503,0.8583243547841082,78791.6390141336,60881.7492039368,110270.84874538847,4.229291823745865,1.7038018566952613,14.507683490208137,2.1406112504990245,7,0.512
72,NGC4157,0.4913302098005642,0.455751834306412,0.5204594689833374,0.6529733261252866,0.5199550284551925,0.8095061033077334,649665.1660640441,213322.94300674403,2625461.105829759,331.70673461385445,84.82687141449074,1438.5283289353042,0.4462827077909641,17,0.483359375
73,NGC4183,0.5203056108125661,0.4139985844341447,0.6534984678603828,0.6954908836749416,0.5520915076824741,0.8865416927862309,41536.54039553631,38871.414270122696,44022.12081727867,8.704225137573243,7.405270294392871,10.503358055384329,0.18636899179778682,23,0.5939218749999999
74,NGC4214,0.5165469836127675,0.4099662761334115,0.6476431069411794,0.6900659456841526,0.5504241988406102,0.8678685417427208,28236.728940363824,25209.11239138008,33717.9075792244,3.614385284855658,2.481383367258195,5.802189933877339,0.8484480722116542,14,0.583
75,NGC4217,0.6745909263287718,0.5263217836219389,0.8554244424656635,0.2706196555775727,0.2353639620754796,0.3078786398180574,215754.23107654814,142840.9646776662,1147867.8073402012,45.52638065096496,21.31622120250019,342.1635989120007,4.534899955024226,19,0.484015625
76,NGC4389,0.34017106455305457,0.30434398343742053,0.37510170915629176,0.6944114372526548,0.5553614023783423,0.8739025947718255,48.10344179698695,0.984500238508927,2998.6657634697335,13.299782215410225,0.06634485628372402,662.7589132915382,17.623069613314186,6,0.498421875
77,NGC4559,0.3962319506860693,0.33329725859942566,0.4646691716781635,0.7065045587086862,0.5599437512209781,0.8832617299323536,56599.58412748799,52753.92767155423,63960.56366779383,17.160570446791937,13.104790742006838,24.72934644067332,0.30059098050499505,32,0.5683750000000001
